Description	Ensembl GeneIDs
POU domain class 5, transcription factor 2	ENSMUSG00000093668
glutathione peroxidase 6	ENSMUSG00000004341
RIKEN cDNA 1700013H16 gene	ENSMUSG00000054727
tetratricopeptide repeat domain 32	ENSMUSG00000066637
epididymal peptidase inhibitor	ENSMUSG00000017733
LYR motif containing 7	ENSMUSG00000020268
NME/NM23 family member 5	ENSMUSG00000035984
golgi associated RAB2 interactor 5A	ENSMUSG00000051113
fucose-1-phosphate guanylyltransferase	ENSMUSG00000053870
N-acetyltransferase 8 (GCN5-related) family member 4	ENSMUSG00000068299
progestin and adipoQ receptor family member IX	ENSMUSG00000064225
zinc finger CCCH type containing 14	ENSMUSG00000021012
NSE3 homolog, SMC5-SMC6 complex component like	ENSMUSG00000100937
cilia and flagella associated protein 161	ENSMUSG00000011154
dynein, axonemal, light intermediate polypeptide 1	ENSMUSG00000042707
radial spoke head 9 homolog (Chlamydomonas)	ENSMUSG00000023966
SAGA complex associated factor 29	ENSMUSG00000030714
calcyphosine-like	ENSMUSG00000039676
spermatogenesis associated 9	ENSMUSG00000021590
acylphosphatase 2, muscle type	ENSMUSG00000060923
dynactin associated protein	ENSMUSG00000024512
FGGY carbohydrate kinase domain containing	ENSMUSG00000028573
zinc finger and BTB domain containing 4	ENSMUSG00000018750
Yip1 domain family, member 7	ENSMUSG00000029158
keratin associated protein 9-3	ENSMUSG00000049809
mitochondrial assembly of ribosomal large subunit 1	ENSMUSG00000029815
prolactin family 7, subfamily b, member 1	ENSMUSG00000021347
NADH:ubiquinone oxidoreductase complex assembly factor 2	ENSMUSG00000068184
protocadherin 1	ENSMUSG00000051375
calmodulin-like 4	ENSMUSG00000032246
WNK lysine deficient protein kinase 2	ENSMUSG00000037989
charged multivesicular body protein 4B	ENSMUSG00000038467
glucosamine (N-acetyl)-6-sulfatase	ENSMUSG00000034707
mediator complex subunit 25	ENSMUSG00000002968
small integral membrane protein 15	ENSMUSG00000071180
ribosomal protein S25	ENSMUSG00000009927
FAST kinase domains 2	ENSMUSG00000025962
KxDL motif containing 1	ENSMUSG00000055553
sperm acrosome associated 3	ENSMUSG00000053184
testis expressed 30	ENSMUSG00000026049
methionyl aminopeptidase 1	ENSMUSG00000005813
MAGE family member H1	ENSMUSG00000047238
small nuclear RNA activating complex, polypeptide 1	ENSMUSG00000021113
spermatogenesis associated 25	ENSMUSG00000017767
coiled-coil domain containing 172	ENSMUSG00000025090
serine-rich single-pass membrane protein 1	ENSMUSG00000029784
WD repeat domain 54	ENSMUSG00000030032
lin-37 DREAM MuvB core complex component	ENSMUSG00000036845
BICD family like cargo adaptor 1	ENSMUSG00000041609
transmembrane protein 225	ENSMUSG00000040541
RAS-like, family 10, member A	ENSMUSG00000034209
phosphoinositide-3-kinase regulatory subunit 4	ENSMUSG00000032571
testis expressed gene 22	ENSMUSG00000012211
claudin 22	ENSMUSG00000038064
inositol 1,3,4,5,6-pentakisphosphate 2-kinase	ENSMUSG00000021385
nudix hydrolase 16	ENSMUSG00000032565
RHO family interacting cell polarization regulator 1	ENSMUSG00000038604
HIG1 domain family, member 1B	ENSMUSG00000020928
ankyrin repeat and sterile alpha motif domain containing 6	ENSMUSG00000066191
nuclear receptor 2C2-associated protein	ENSMUSG00000071078
Rab interacting lysosomal protein-like 1	ENSMUSG00000029392
C2 calcium-dependent domain containing 4B	ENSMUSG00000091956
shieldin complex subunit 2	ENSMUSG00000041471
eukaryotic translation initiation factor 4B	ENSMUSG00000058655
keratin 24	ENSMUSG00000020913
RNA binding motif protein 12	ENSMUSG00000089824
transmembrane protein 14A	ENSMUSG00000025933
von Willebrand factor A domain containing 5B1	ENSMUSG00000028753
angiomotin-like 1	ENSMUSG00000013076
PHD finger protein 14	ENSMUSG00000029629
idnK gluconokinase homolog (E. coli)	ENSMUSG00000050002
IQ motif containing D	ENSMUSG00000029601
membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)	ENSMUSG00000057440
EGF-like and EMI domain containing 1	ENSMUSG00000063600
small VCP/p97-interacting protein	ENSMUSG00000074093
microrchidia 4	ENSMUSG00000031434
solute carrier family 10 (sodium/bile acid cotransporter family), member 6	ENSMUSG00000029321
importin 4	ENSMUSG00000002319
Kruppel-like factor 17	ENSMUSG00000048626
RIKEN cDNA 9130401M01 gene	ENSMUSG00000101892
DDB1 and CUL4 associated factor 17	ENSMUSG00000041966
SLX1 structure-specific endonuclease subunit homolog B (S. cerevisiae)	ENSMUSG00000059772
RAB11 family interacting protein 1 (class I)	ENSMUSG00000031488
phospholipid phosphatase related 5	ENSMUSG00000033342
adenosine deaminase domain containing 2	ENSMUSG00000024266
tetratricopeptide repeat domain 23-like	ENSMUSG00000022249
thioesterase superfamily member 4	ENSMUSG00000028145
Leber congenital amaurosis 5 (human)	ENSMUSG00000032258
cilia and flagella associated protein 299	ENSMUSG00000057816
kelch-like 24	ENSMUSG00000062901
cytoskeleton associated protein 5	ENSMUSG00000040549
chromodomain protein, Y chromosome-like 2	ENSMUSG00000031758
RIKEN cDNA 4930447C04 gene	ENSMUSG00000021098
neurolysin (metallopeptidase M3 family)	ENSMUSG00000021710
stabilizer of axonemal microtubules 1	ENSMUSG00000028492
taspase, threonine aspartase 1	ENSMUSG00000039033
HORMA domain containing 2	ENSMUSG00000020419
PRAME like, X-linked 1	ENSMUSG00000031411
ring finger protein 139	ENSMUSG00000037075
CDP-L-ribitol pyrophosphorylase A	ENSMUSG00000043153
RIKEN cDNA 4930568D16 gene	ENSMUSG00000026882
testis expressed 26	ENSMUSG00000029660
ADP-ribosylation factor-like 5B	ENSMUSG00000017418
testicular cell adhesion molecule 1	ENSMUSG00000020712
zinc finger protein 821	ENSMUSG00000031728
glutathione S-transferase, theta 4	ENSMUSG00000009093
adenosine deaminase-like	ENSMUSG00000027259
vacuole membrane protein 1	ENSMUSG00000018171
exocyst complex component 6B	ENSMUSG00000033769
RIKEN cDNA 4930579G24 gene	ENSMUSG00000027811
sterile alpha motif domain containing 7	ENSMUSG00000051860
serine/arginine repetitive matrix 2	ENSMUSG00000039218
trafficking protein particle complex 8	ENSMUSG00000033382
zinc finger, DHHC domain containing 20	ENSMUSG00000021969
dedicator of cytokinesis 11	ENSMUSG00000031093
RAB30, member RAS oncogene family	ENSMUSG00000030643
agmatine ureohydrolase (agmatinase)	ENSMUSG00000040706
SLAIN motif family, member 2	ENSMUSG00000036087
zinc finger, MYM-type 2	ENSMUSG00000021945
zinc finger CCCH-type containing 18	ENSMUSG00000017478
gon-4-like (C.elegans)	ENSMUSG00000054199
calcium activated nucleotidase 1	ENSMUSG00000025575
coiled-coil domain containing 125	ENSMUSG00000048924
non-SMC condensin II complex, subunit G2	ENSMUSG00000042029
glucosidase, alpha; neutral C	ENSMUSG00000062646
janus kinase and microtubule interacting protein 1	ENSMUSG00000063646
ring finger protein 183	ENSMUSG00000063851
polycomb group ring finger 5	ENSMUSG00000024805
tocopherol (alpha) transfer protein-like	ENSMUSG00000017679
RAS related protein 2a	ENSMUSG00000051615
lactoperoxidase	ENSMUSG00000009356
Rho GTPase activating protein 15	ENSMUSG00000049744
LAS1-like (S. cerevisiae)	ENSMUSG00000057421
DEP domain containing 1a	ENSMUSG00000028175
failed axon connections homolog	ENSMUSG00000028246
mitochondrial calcium uniporter regulator 1	ENSMUSG00000021371
protein phosphatase 1, regulatory inhibitor subunit 14C	ENSMUSG00000040653
family with sequence similarity 131, member B	ENSMUSG00000029861
solute carrier family 35, member D3	ENSMUSG00000050473
lysosomal-associated membrane protein family, member 5	ENSMUSG00000027270
ciliogenesis and planar polarity effector 2	ENSMUSG00000073733
small nuclear ribonucleoprotein 35 (U11/U12)	ENSMUSG00000029402
cytochrome C oxidase assembly factor 5	ENSMUSG00000026112
ubiquitin specific peptidase 31	ENSMUSG00000063317
CUGBP, Elav-like family member 6	ENSMUSG00000032297
ATP-binding cassette, sub-family A (ABC1), member 6	ENSMUSG00000044749
alcohol dehydrogenase, iron containing, 1	ENSMUSG00000025911
mediator complex subunit 13-like	ENSMUSG00000018076
STARD3 N-terminal like	ENSMUSG00000003062
G protein-coupled receptor 165	ENSMUSG00000031210
janus kinase and microtubule interacting protein 2	ENSMUSG00000024502
adipocyte-related X-chromosome expressed sequence 1	ENSMUSG00000048355
ATP/GTP binding protein-like 3	ENSMUSG00000038836
vomeronasal 2, receptor 29	ENSMUSG00000095730,ENSMUSG00000110105
deoxynucleotidyltransferase, terminal, interacting protein 1	ENSMUSG00000017299
glyoxylate reductase/hydroxypyruvate reductase	ENSMUSG00000035637
RTF1, Paf1/RNA polymerase II complex component	ENSMUSG00000027304
excision repair cross-complementing rodent repair deficiency, complementation group 6 like 2	ENSMUSG00000021470
ATPase, H+ transporting, lysosomal V0 subunit E2	ENSMUSG00000039347
RIKEN cDNA 0610040J01 gene	ENSMUSG00000060512
tRNA splicing endonuclease subunit 54	ENSMUSG00000020781
Nedd4 family interacting protein 2	ENSMUSG00000053253
cytochrome P450, family 2, subfamily d, polypeptide 26	ENSMUSG00000022445
Tax1 (human T cell leukemia virus type I) binding protein 3	ENSMUSG00000040158
ankyrin repeat and SOCs box-containing 5	ENSMUSG00000031519
ATPase, class VI, type 11B	ENSMUSG00000037400
PEST proteolytic signal containing nuclear protein	ENSMUSG00000071533
solute carrier family 18, subfamily B, member 1	ENSMUSG00000037455
RAB1B, member RAS oncogene family	ENSMUSG00000024870
component of oligomeric golgi complex 2	ENSMUSG00000031979
RAB2B, member RAS oncogene family	ENSMUSG00000022159
TDP-glucose 4,6-dehydratase	ENSMUSG00000022130
TRM5 tRNA methyltransferase 5	ENSMUSG00000034442
mitochondrial translational initiation factor 3	ENSMUSG00000016510
transformation related protein 53 regulating kinase B	ENSMUSG00000042854
zinc finger protein 773	ENSMUSG00000063535
de-etiolated homolog 1 (Arabidopsis)	ENSMUSG00000030610
ropporin, rhophilin associated protein 1	ENSMUSG00000022832
centrosomal protein 112	ENSMUSG00000020728
H2A histone family member L1M	ENSMUSG00000100200
ankyrin repeat domain 36	ENSMUSG00000020481
phosphatidylethanolamine binding protein 2	ENSMUSG00000047104
testis expressed 45	ENSMUSG00000040340
intraflagellar transport 43	ENSMUSG00000007867
RNA polymerase I subunit H, antisense	ENSMUSG00000036214
RIKEN cDNA 1700028K03 gene	ENSMUSG00000089798
GID complex subunit 8	ENSMUSG00000027573
family with sequence similarity 209	ENSMUSG00000027505
phospholysine phosphohistidine inorganic pyrophosphate phosphatase	ENSMUSG00000030946
raftlin lipid raft linker 1	ENSMUSG00000039316
protein phosphatase 1, regulatory subunit 18	ENSMUSG00000034595
protease, serine 23	ENSMUSG00000039405
F-box protein 31	ENSMUSG00000052934
coiled-coil domain containing 134	ENSMUSG00000068114
kinetochore scaffold 1	ENSMUSG00000027326
cardiomyopathy associated 5	ENSMUSG00000047419
procollagen C-endopeptidase enhancer 2	ENSMUSG00000015354
4HAUS augmin-like complex, subunit 8	ENSMUSG00000035439
survival motor neuron domain containing 1	ENSMUSG00000025024
regulator of MON1-CCZ1	ENSMUSG00000024410
kinase non-catalytic C-lobe domain (KIND) containing 1	ENSMUSG00000066129
glycosyltransferase 8 domain containing 1	ENSMUSG00000021916
lymphocyte antigen 6 complex, locus K	ENSMUSG00000044678
protein phosphatase 1, regulatory subunit 3G	ENSMUSG00000050423
abhydrolase domain containing 14b	ENSMUSG00000042073
protein phosphatase 1, regulatory inhibitor subunit 11	ENSMUSG00000036398
progestin and adipoQ receptor family member IV	ENSMUSG00000023909
COMM domain containing 9	ENSMUSG00000027163
amine oxidase, copper-containing 1	ENSMUSG00000029811
placenta expressed transcript 1	ENSMUSG00000032068
LSM8 homolog, U6 small nuclear RNA associated	ENSMUSG00000044155
transmembrane protein 101	ENSMUSG00000020921
coiled-coil domain containing 6	ENSMUSG00000048701
autophagy related 2B	ENSMUSG00000041341
sorting nexin 7	ENSMUSG00000028007
glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1	ENSMUSG00000019863
refilin B	ENSMUSG00000020846
intraflagellar transport 46	ENSMUSG00000002031
serine/threonine/tyrosine interacting-like 1	ENSMUSG00000019178
RNA binding motif protein, X-linked-like 2	ENSMUSG00000073894
spermatogenesis and centriole associated 1 like	ENSMUSG00000009115
Fas associated factor family member 2	ENSMUSG00000025873
mindbomb E3 ubiquitin protein ligase 2	ENSMUSG00000029060
importin 11	ENSMUSG00000042590
unc-5 family C-terminal like	ENSMUSG00000043592
DnaJ heat shock protein family (Hsp40) member C18	ENSMUSG00000024350
LLLL and CFNLAS motif containing 1	ENSMUSG00000029867
HECT domain E3 ubiquitin protein ligase 3	ENSMUSG00000046861
glutamic-oxaloacetic transaminase 1-like 1	ENSMUSG00000039720
transmembrane protein 270	ENSMUSG00000040576
STAM binding protein like 1	ENSMUSG00000024776
leucine rich melanocyte differentiation associated	ENSMUSG00000063458
polycystic kidney disease 1 like 2	ENSMUSG00000034416
WD repeat domain 38	ENSMUSG00000035295
actin related protein T3	ENSMUSG00000037737
uridine phosphorylase 2	ENSMUSG00000026839
malate dehydrogenase 1B, NAD (soluble)	ENSMUSG00000025963
cilia and flagella associated protein 70	ENSMUSG00000039543
tripartite motif-containing 12A	ENSMUSG00000066258
CAP-GLY domain containing linker protein 3	ENSMUSG00000013921
signal peptidase complex subunit 3 homolog (S. cerevisiae)	ENSMUSG00000054408
chymotrypsin C (caldecrin)	ENSMUSG00000062478
carboxypeptidase B1 (tissue)	ENSMUSG00000011463
CLIP associating protein 1	ENSMUSG00000064302
cation channel sperm associated auxiliary subunit gamma 2	ENSMUSG00000049123
KAT8 regulatory NSL complex subunit 1	ENSMUSG00000018412
cysteine-rich with EGF-like domains 2	ENSMUSG00000023272
gap junction protein, epsilon 1	ENSMUSG00000019867
death associated protein-like 1	ENSMUSG00000026989
motile sperm domain containing 2	ENSMUSG00000061778
alkaline phosphatase, intestinal	ENSMUSG00000079440
N-terminal glutamine amidase 1	ENSMUSG00000022359
solute carrier family 10 (sodium/bile acid cotransporter family), member 7	ENSMUSG00000031684
clusterin associated protein 1	ENSMUSG00000014232
methyltransferase like 4	ENSMUSG00000055660
mitochondrial translational initiation factor 2	ENSMUSG00000020459
protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 3	ENSMUSG00000003863
kelch domain containing 10	ENSMUSG00000029775
mitotic spindle organizing protein 1	ENSMUSG00000033186
SREBF pathway regulator in golgi 1	ENSMUSG00000032840
Smad nuclear interacting protein 1	ENSMUSG00000050213
TBC1 domain family, member 9B	ENSMUSG00000036644
transmembrane protein 234	ENSMUSG00000028797
ubiquitin specific peptidase 42	ENSMUSG00000051306
zinc finger protein 998	ENSMUSG00000074832
ribosomal protein L18A	ENSMUSG00000045128
Bri3 binding protein	ENSMUSG00000037905
armadillo repeat containing 6	ENSMUSG00000002343
calcium binding and coiled-coil domain 2	ENSMUSG00000006056
serologically defined colon cancer antigen 8	ENSMUSG00000026504
CYFIP related Rac1 interactor A	ENSMUSG00000020589
mitochondrial fission regulator 1-like	ENSMUSG00000046671
nucleotide binding protein-like	ENSMUSG00000035142
docking protein 5	ENSMUSG00000027560
HYLS1, centriolar and ciliogenesis associated	ENSMUSG00000050555
denticleless E3 ubiquitin protein ligase	ENSMUSG00000037474
ribosomal protein S9	ENSMUSG00000006333
argonaute RISC catalytic subunit 4	ENSMUSG00000042500
cation channel, sperm associated 3	ENSMUSG00000021499
speckle-type BTB/POZ protein-like	ENSMUSG00000026771
NLR family, pyrin domain containing 14	ENSMUSG00000016626
DCN1, defective in cullin neddylation 1, domain containing 5 (S. cerevisiae)	ENSMUSG00000032002
MORN repeat containing 1	ENSMUSG00000029049
rhomboid domain containing 1	ENSMUSG00000026142
coiled-coil domain containing 116	ENSMUSG00000022768
RAB36, member RAS oncogene family	ENSMUSG00000020175
family with sequence similarity 81, member A	ENSMUSG00000032224
coenzyme Q8B	ENSMUSG00000003762
ring finger protein, transmembrane 1	ENSMUSG00000020521
methyltransferase like 15	ENSMUSG00000057234
RALY RNA binding protein-like	ENSMUSG00000039717
golgin A1	ENSMUSG00000026754
single stranded DNA binding protein 4	ENSMUSG00000070003
jade family PHD finger 2	ENSMUSG00000020387
translocase of inner mitochondrial membrane domain containing 1	ENSMUSG00000002846
FLYWCH family member 2	ENSMUSG00000023911
arrestin domain containing 5	ENSMUSG00000073380
spermatogenesis associated 46	ENSMUSG00000042800
TSSK6 activating co-chaperone	ENSMUSG00000010538
ADP-ribosylation factor interacting protein 2	ENSMUSG00000030881
RIKEN cDNA 2810429I04 gene	ENSMUSG00000097709
RNA binding motif protein 17	ENSMUSG00000037197
Ly6/Plaur domain containing 5	ENSMUSG00000030484
prosaposin-like 1	ENSMUSG00000043430
NADH:ubiquinone oxidoreductase complex assembly factor 6	ENSMUSG00000050323
5'-nucleotidase, cytosolic II	ENSMUSG00000025041
DENN domain containing 2B	ENSMUSG00000031024
charged multivesicular body protein 5	ENSMUSG00000028419
brain enriched myelin associated protein 1	ENSMUSG00000013523
RIKEN cDNA 2610028H24 gene	ENSMUSG00000009114
SLIT and NTRK-like family, member 1	ENSMUSG00000075478
RIKEN cDNA 2700049A03 gene	ENSMUSG00000034601
carbohydrate sulfotransferase 1	ENSMUSG00000027221
sulfotransferase family 2A, dehydroepiandrosterone (DHEA)-preferring, member 8	ENSMUSG00000030378
small nucleolar RNA host gene 20	ENSMUSG00000086859
urate (5-hydroxyiso-) hydrolase	ENSMUSG00000025481
adipocyte-related X-chromosome expressed sequence 2	ENSMUSG00000048040
ubiquitin-conjugating enzyme E2Q family-like 1	ENSMUSG00000052981
vexin	ENSMUSG00000067879
Sec1 family domain containing 1	ENSMUSG00000020952
haloacid dehalogenase-like hydrolase domain containing 2	ENSMUSG00000025421
DDRGK domain containing 1	ENSMUSG00000068290
TOPBP1-interacting checkpoint and replication regulator	ENSMUSG00000046591
metallophosphoesterase domain containing 2	ENSMUSG00000016386
collagen, type XXV, alpha 1	ENSMUSG00000058897
thiosulfate sulfurtransferase (rhodanese)-like domain containing 3	ENSMUSG00000028251
