	Description	Ensembl GeneIDs
16666	FIGNL1 interacting regulator of recombination and mitosis	ENSG00000000460
16667	ZFP64 zinc finger protein	ENSG00000020256
16668	NAD(P)HX dehydratase	ENSG00000213995
16669	ER degradation enhancing alpha-mannosidase like protein 2	ENSG00000088298
16670	cytochrome c oxidase assembly factor 1	ENSG00000106603
16671	adaptor related protein complex 5 subunit mu 1	ENSG00000053770
16672	transmembrane protein 184C	ENSG00000164168
16673	integrator complex subunit 9	ENSG00000104299
16674	UDP-glucose glycoprotein glucosyltransferase 2	ENSG00000102595
16675	REST corepressor 3	ENSG00000117625
16676	tetratricopeptide repeat domain 17	ENSG00000052841
16677	innate immunity activator	ENSG00000163362
16678	zinc finger protein 83	ENSG00000167766
16679	TBC1 domain family member 23	ENSG00000036054
16680	SAYSVFN motif domain containing 1	ENSG00000112167
16681	zinc finger protein 839	ENSG00000022976
16682	cilia and flagella associated protein 44	ENSG00000206530
16683	ER membrane associated RNA degradation	ENSG00000130023
16684	cap methyltransferase 2	ENSG00000180917
16685	multiple C2 and transmembrane domain containing 2	ENSG00000140563
16686	FYVE, RhoGEF and PH domain containing 6	ENSG00000180263
16687	zinc finger protein 415	ENSG00000170954
16688	taxilin gamma	ENSG00000086712
16689	ligand dependent nuclear receptor interacting factor 1	ENSG00000121931
16690	MINDY lysine 48 deubiquitinase 1	ENSG00000143409
16691	muscleblind like splicing regulator 3	ENSG00000076770
16692	methyltransferase 2B, methylcytidine	ENSG00000165055
16693	ArfGAP with dual PH domains 2	ENSG00000184060
16694	LRP2 binding protein	ENSG00000109771
16695	UTP6 small subunit processome component	ENSG00000108651
16696	translin associated factor X interacting protein 1	ENSG00000102904
16697	ring finger protein 130	ENSG00000113269
16698	allantoicase	ENSG00000151360
16699	peroxisomal trans-2-enoyl-CoA reductase	ENSG00000115425
16700	ER membrane protein complex subunit 3	ENSG00000125037
16701	E2F associated phosphoprotein	ENSG00000129518
16702	WWC family member 3	ENSG00000047644
16703	integrin alpha FG-GAP repeat containing 2	ENSG00000111203
16704	plasminogen receptor with a C-terminal lysine	ENSG00000107020
16705	unconventional SNARE in the ER 1	ENSG00000053501
16706	testis expressed 2	ENSG00000136478
16707	IDI2 antisense RNA 1	ENSG00000232656
16708	kizuna centrosomal protein	ENSG00000088970
16709	actin related protein 10	ENSG00000131966
16710	dysbindin domain containing 2	ENSG00000244274
16711	ethylmalonyl-CoA decarboxylase 1	ENSG00000093144
16712	Zn regulated GTPase metalloprotein activator 1A	ENSG00000172785
16713	gamma-aminobutyric acid type A receptor subunit theta	ENSG00000268089
16714	WD repeat and SOCS box containing 2	ENSG00000176871
16715	zinc finger with KRAB and SCAN domains 7	ENSG00000196345
16716	golgin A6 family member B	ENSG00000215186
16717	G protein-coupled receptor class C group 5 member C	ENSG00000170412
16718	lens epithelial protein	ENSG00000163352
16719	mesoderm posterior bHLH transcription factor 1	ENSG00000166823
16720	zinc finger protein 302	ENSG00000089335
16721	bridging integrator 3	ENSG00000147439
16722	apolipoprotein B receptor	ENSG00000184730
16723	nuclear transport factor 2 like export factor 2	ENSG00000101888
16724	CTTNBP2 N-terminal like	ENSG00000143079
16725	inka box actin regulator 2	ENSG00000197852
16726	zinc finger matrin-type 5	ENSG00000100319
16727	lin-37 DREAM MuvB core complex component	ENSG00000267796
16728	kelch like family member 9	ENSG00000198642
16729	RAB5 interacting factor	ENSG00000101084
16730	solute carrier family 25 member 40	ENSG00000075303
16731	B cell receptor associated protein 29	ENSG00000075790
16732	solute carrier family 50 member 1	ENSG00000169241
16734	nuclear RNA export factor 3	ENSG00000147206
16735	BARX homeobox 1	ENSG00000131668
16736	ubiquitin family domain containing 1	ENSG00000103353
16737	kelch like family member 4	ENSG00000102271
16738	protocadherin gamma subfamily C, 5	ENSG00000240764
16739	protocadherin gamma subfamily C, 4	ENSG00000242419
16740	protocadherin gamma subfamily B, 7	ENSG00000254122
16741	protocadherin gamma subfamily B, 6	ENSG00000253305
16742	protocadherin gamma subfamily B, 5	ENSG00000276547
16743	protocadherin gamma subfamily B, 3	ENSG00000262209
16744	protocadherin gamma subfamily B, 2	ENSG00000253910
16745	protocadherin gamma subfamily B, 1	ENSG00000254221
16746	protocadherin gamma subfamily A, 11	ENSG00000253873
16747	protocadherin gamma subfamily A, 10	ENSG00000253846
16748	protocadherin gamma subfamily A, 9	ENSG00000261934
16749	protocadherin gamma subfamily A, 7	ENSG00000253537
16750	protocadherin gamma subfamily A, 6	ENSG00000253731
16751	protocadherin gamma subfamily A, 5	ENSG00000253485
16752	protocadherin gamma subfamily A, 4	ENSG00000262576
16753	protocadherin gamma subfamily A, 3	ENSG00000254245
16754	protocadherin gamma subfamily A, 2	ENSG00000081853
16755	protocadherin gamma subfamily A, 1	ENSG00000204956
16757	protocadherin beta 15	ENSG00000113248
16758	protocadherin beta 14	ENSG00000120327
16759	protocadherin beta 13	ENSG00000187372
16760	protocadherin beta 12	ENSG00000120328
16761	protocadherin beta 11	ENSG00000197479
16762	protocadherin beta 10	ENSG00000120324
16763	protocadherin beta 9	ENSG00000177839
16764	protocadherin beta 8	ENSG00000120322
16765	protocadherin beta 7	ENSG00000113212
16766	protocadherin beta 6	ENSG00000113211
16767	protocadherin beta 4	ENSG00000081818
16768	protocadherin beta 3	ENSG00000113205
16769	protocadherin beta 2	ENSG00000112852
16770	protocadherin alpha subfamily C, 2	ENSG00000243232
16771	protocadherin alpha subfamily C, 1	ENSG00000248383
16772	protocadherin alpha 13	ENSG00000239389
16773	protocadherin alpha 12	ENSG00000251664
16774	protocadherin alpha 11	ENSG00000249158
16775	protocadherin alpha 10	ENSG00000250120
16776	protocadherin alpha 8	ENSG00000204962
16777	protocadherin alpha 7	ENSG00000204963
16778	protocadherin alpha 6	ENSG00000081842
16779	protocadherin alpha 5	ENSG00000204965
16780	protocadherin alpha 4	ENSG00000204967
16781	protocadherin alpha 3	ENSG00000255408
16782	protocadherin alpha 2	ENSG00000204969
16783	protocadherin alpha 1	ENSG00000204970
16784	testis expressed 14, intercellular bridge forming factor	ENSG00000121101
16785	testis expressed 13B	ENSG00000170925
16786	testis expressed 13A	ENSG00000268629
16787	testis expressed 12	ENSG00000150783
16788	testis expressed 11	ENSG00000120498
16789	protein kinase Y-linked (pseudogene)	ENSG00000099725
16790	NSE3 homolog, SMC5-SMC6 complex component	ENSG00000185115
16791	ring finger protein 17	ENSG00000132972
16792	dynein axonemal heavy chain 7	ENSG00000118997
16793	motile sperm domain containing 1	ENSG00000101928
16794	mitochondrial fission regulator 1 like	ENSG00000117640
16795	leiomodin 3	ENSG00000163380
16796	persephin	ENSG00000125650
16797	zinc finger protein 253	ENSG00000256771
16798	chromosome 21 open reading frame 62	ENSG00000205929
16799	thioredoxin related transmembrane protein 4	ENSG00000125827
16800	SERTA domain containing 4	ENSG00000082497
16801	glycerophosphocholine phosphodiesterase 1	ENSG00000125772
16802	carboxypeptidase X, M14 family member 1	ENSG00000088882
16803	kynurenine aminotransferase 3	ENSG00000137944
16804	WD repeat domain 45B	ENSG00000141580
16805	brain expressed X-linked 4	ENSG00000102409
16807	ankyrin repeat domain 7	ENSG00000106013
16808	calcium binding protein 5	ENSG00000105507
16809	phosphoribosyl pyrophosphate synthetase associated protein 2	ENSG00000141127
16810	proline rich and Gla domain 1	ENSG00000130962
16811	proline rich and Gla domain 2	ENSG00000126460
16812	CTP synthase 2	ENSG00000047230
16813	carbohydrate sulfotransferase 7	ENSG00000147119
16814	tubulin beta 7 pseudogene	ENSG00000251297
16815	claudin domain containing 1	ENSG00000080822
16817	neural proliferation, differentiation and control 1	ENSG00000107281
16818	DNA polymerase epsilon 4, accessory subunit	ENSG00000115350
16819	olfactory receptor family 2 subfamily S member 2	ENSG00000278889
16820	potassium two pore domain channel subfamily K member 13	ENSG00000152315
16821	potassium two pore domain channel subfamily K member 12	ENSG00000184261
16822	vault RNA 1-2	ENSG00000202111
16823	vault RNA 1-1	ENSG00000199990
16824	TMEM9 domain family member B	ENSG00000175348
16825	nuclear receptor interacting protein 3	ENSG00000175352
16826	achaete-scute family bHLH transcription factor 3	ENSG00000176009
16827	cilia and flagella associated protein 298	ENSG00000159079
16828	pregnancy specific beta-1-glycoprotein 2	ENSG00000242221
16829	pregnancy specific beta-1-glycoprotein 3	ENSG00000221826
16830	pregnancy specific beta-1-glycoprotein 4	ENSG00000243137
16831	pregnancy specific beta-1-glycoprotein 5	ENSG00000204941
16832	SLC2A4 regulator	ENSG00000125520
16833	pregnancy specific beta-1-glycoprotein 6	ENSG00000170848
16834	BarH like homeobox 1	ENSG00000125492
16835	pregnancy specific beta-1-glycoprotein 7	ENSG00000221878
16836	pregnancy specific beta-1-glycoprotein 11	ENSG00000243130
16837	protein serine kinase H1	ENSG00000159792
16838	SLAM family member 8	ENSG00000158714
16839	transcription elongation factor A like 7	ENSG00000182916
16840	ER membrane protein complex subunit 7	ENSG00000134153
16841	CDC42 small effector 1	ENSG00000197622
16842	follistatin like 5	ENSG00000168843
16843	potassium channel modulatory factor 1	ENSG00000176407
16844	Mdm1 nuclear protein	ENSG00000111554
16845	galectin 14	ENSG00000006659
16846	1-acylglycerol-3-phosphate O-acyltransferase 3	ENSG00000160216
16847	1-acylglycerol-3-phosphate O-acyltransferase 4	ENSG00000026652
16848	poly(A) polymerase beta	ENSG00000218823
16849	chromosome 15 open reading frame 39	ENSG00000167173
16850	THAP domain containing 10	ENSG00000129028
16851	MAP3K7 C-terminal like	ENSG00000156265
16852	intraflagellar transport 46	ENSG00000118096
16853	otoraplin	ENSG00000125879
16854	Meis homeobox 3	ENSG00000105419
16855	semaphorin 3G	ENSG00000010319
16856	G protein-coupled receptor 108	ENSG00000125734
16857	signal peptide peptidase like 2B	ENSG00000005206
16858	fem-1 homolog C	ENSG00000145780
16859	dihydrouridine synthase 3 like	ENSG00000141994
16860	single-pass membrane protein with coiled-coil domains 4	ENSG00000166002
16861	C-X9-C motif containing 2	ENSG00000103121
16862	ENY2 transcription and export complex 2 subunit	ENSG00000120533
16863	short chain dehydrogenase/reductase family 39U member 1	ENSG00000100445
16864	chromosome 5 open reading frame 15	ENSG00000113583
16865	phosphoribosyl transferase domain containing 1	ENSG00000099256
16866	5',3'-nucleotidase, mitochondrial	ENSG00000205309
16867	nitrilase family member 2	ENSG00000114021
16868	LIM homeobox 9	ENSG00000143355
16869	Src homology 2 domain containing transforming protein D	ENSG00000105251
16870	WD repeat domain 93	ENSG00000140527
16871	poly(ADP-ribose) polymerase family member 6	ENSG00000137817
16872	ataxin 7 like 3	ENSG00000087152
16873	CEA cell adhesion molecule 19	ENSG00000186567
16874	storkhead box 2	ENSG00000173320
16875	PR/SET domain 8	ENSG00000152784
16876	PR/SET domain 10	ENSG00000170325
16877	PR/SET domain 11	ENSG00000019485
16878	proteasome assembly chaperone 2	ENSG00000128789
16879	ADP-ribose/CDP-alcohol diphosphatase, manganese dependent	ENSG00000170222
16880	DTW domain containing 1	ENSG00000104047
16881	BBX high mobility group box domain containing	ENSG00000114439
16882	CDC42 small effector 2	ENSG00000158985
16883	choline phosphotransferase 1	ENSG00000111666
16884	TUB like protein 4	ENSG00000130338
16885	solute carrier family 12 member 9	ENSG00000146828
16886	succinate dehydrogenase complex assembly factor 3	ENSG00000196636
16887	YAE1 maturation factor of ABCE1	ENSG00000241127
16888	coenzyme Q9	ENSG00000088682
16889	VPS35 endosomal protein sorting factor like	ENSG00000103544
16890	arginine and serine rich protein 1	ENSG00000117616
16891	ankyrin repeat and MYND domain containing 2	ENSG00000106524
16892	phospholipid scramblase 2	ENSG00000163746
16893	cholinergic receptor nicotinic alpha 10 subunit	ENSG00000129749
16894	phospholipid scramblase 4	ENSG00000114698
16895	Cas scaffold protein family member 4	ENSG00000087589
16896	tripartite motif containing 49	ENSG00000168930
16897	PITH domain containing 1	ENSG00000057757
16898	poly(ADP-ribose) polymerase family member 11	ENSG00000111224
16899	chromosome 12 open reading frame 4	ENSG00000047621
16900	N-acetyltransferase 14 (putative)	ENSG00000090971
16901	phospholipase A and acyltransferase 1	ENSG00000127252
16902	peptidoglycan recognition protein 4	ENSG00000163218
16903	zinc finger protein 695	ENSG00000197472
16904	integrator complex subunit 12	ENSG00000138785
16905	mitochondrial ribosomal protein L47	ENSG00000136522
16906	ATPase 13A1	ENSG00000105726
16907	mannosidase alpha class 1C member 1	ENSG00000117643
16908	ral guanine nucleotide dissociation stimulator like 3	ENSG00000205517
16909	arginyl aminopeptidase like 1	ENSG00000142327
16910	aarF domain containing kinase 1	ENSG00000063761
16911	lipid droplet assembly factor 1	ENSG00000011638
16912	SCY1 like pseudokinase 3	ENSG00000000457
16913	LYR motif containing 1	ENSG00000102897
16914	lysozyme like 6	ENSG00000275722
16915	transmembrane protein 63C	ENSG00000165548
16916	putative homeodomain transcription factor 2	ENSG00000006576
16917	tripartite motif containing 54	ENSG00000138100
16918	pellino E3 ubiquitin protein ligase family member 2	ENSG00000139946
16919	zinc finger NFX1-type containing 1	ENSG00000124201
16920	dolichyldiphosphatase 1	ENSG00000167130
16921	calcium/calmodulin dependent protein kinase IG	ENSG00000008118
16922	KIAA1191	ENSG00000122203
16923	actin related protein 3B	ENSG00000133627
16924	ankyrin repeat domain containing 50	ENSG00000151458
16925	NIPA like domain containing 3	ENSG00000001461
16926	Ral GTPase activating protein catalytic subunit alpha 2	ENSG00000188559
16927	vomeronasal 1 receptor 1	ENSG00000178201
16928	ATPase phospholipid transporting 8B2	ENSG00000143515
16929	ATPase phospholipid transporting 10D (putative)	ENSG00000145246
16930	zinc finger protein 248	ENSG00000198105
16931	SPRY domain containing 7	ENSG00000123178
16932	ARFGEF family member 3	ENSG00000112379
16933	protein phosphatase 4 regulatory subunit 3B	ENSG00000275052
16934	NHS like 1	ENSG00000135540
16935	LYR motif containing 2	ENSG00000083099
16936	small cell adhesion glycoprotein	ENSG00000170545
16937	zinc finger protein 630	ENSG00000221994
16938	PGM5 antisense RNA 1	ENSG00000224958
16939	solute carrier family 4 member 10	ENSG00000144290
16940	lysine acetyltransferase 14	ENSG00000149474
16941	reticulocalbin 3	ENSG00000142552
16942	zinc finger protein 286A	ENSG00000187607
16943	zinc finger protein 287	ENSG00000141040
16944	SUMO specific peptidase 7	ENSG00000138468
16945	zinc finger protein 304	ENSG00000131845
16946	tweety family member 1	ENSG00000167614
16947	magnesium transporter MRS2	ENSG00000124532
16948	CDC like kinase 4	ENSG00000113240
16950	CLLU1 antisense RNA 1	ENSG00000205057
16952	cytochrome P450 family 20 subfamily A member 1	ENSG00000119004
16953	MIF4G domain containing	ENSG00000125457
16954	transmembrane and immunoglobulin domain containing 3	ENSG00000121933
16955	centrosomal protein 15	ENSG00000114405
16956	WD repeat domain 18	ENSG00000065268
16957	solute carrier family 24 member 3	ENSG00000185052
16958	microRNA 329-2	ENSG00000207762
16959	microRNA 323b	ENSG00000208004
16960	microRNA 376b	ENSG00000283556
16961	microRNA 512-1	ENSG00000207645
16962	microRNA 520e	ENSG00000207599
16963	microRNA 515-1	ENSG00000207616
16964	microRNA 520f	ENSG00000283540
16965	microRNA 515-2	ENSG00000207615
16966	microRNA 519c	ENSG00000207788
16967	microRNA 526b	ENSG00000207580
16968	microRNA 519b	ENSG00000207825
16969	microRNA 525	ENSG00000207711
16970	microRNA 518b	ENSG00000207862
16971	microRNA 518c	ENSG00000283490
16972	microRNA 517a	ENSG00000207734
16973	microRNA 520d	ENSG00000207735
16974	microRNA 520g	ENSG00000207799
16975	microRNA 518a-1	ENSG00000207803
16976	microRNA 517c	ENSG00000207838
16977	microRNA 520h	ENSG00000207861
